SYMBOL,OPEN,HIGH,LOW,PREVCLOSE,LTP,CHNG,CHANGPercentage,VOLUME,VALUE,fiftyTwo_WH,fiftyTwo_WL,TODAY,Date_Time
NIFTY 50,"17,863.00","17,863.00","17,574.05","17,828.00","17,702.75",-125.25,-0.7,"34,83,62,893","34,28,876.14","18,887.60","18,887.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng2.024.26,"Monday, April 17, 2023 3:24 PM"
NESTLEIND,"19,590.00","20,410.00","19,502.15","19,465.35","20,260.00",794.65,4.08,"1,90,377","38,331.89","21,050.00","16,000.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.893.22,"Monday, April 17, 2023 3:24 PM"
POWERGRID,232.60,239.90,232.30,231.20,236.30,5.1,2.21,"1,60,35,667","37,985.29",248.35,186.35,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng0.740.65,"Monday, April 17, 2023 3:24 PM"
SBIN,528.00,544.80,528.00,532.95,544.15,11.2,2.1,"3,19,45,793","1,72,194.21",629.55,430.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng2.950.59,"Monday, April 17, 2023 3:24 PM"
COALINDIA,225.50,229.95,225.40,225.50,229.70,4.2,1.86,"59,86,687","13,667.01",263.40,164.65,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng20.851.74,"Monday, April 17, 2023 3:24 PM"
BRITANNIA,"4,278.00","4,405.00","4,259.70","4,264.20","4,337.80",73.6,1.73,"6,04,332","26,217.67","4,669.20","3,132.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng27.30-2.25,"Monday, April 17, 2023 3:24 PM"
HINDALCO,422.35,429.15,421.60,422.05,428.95,6.9,1.63,"67,89,953","28,917.73",556.20,308.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-22.816.39,"Monday, April 17, 2023 3:24 PM"
GRASIM,"1,689.05","1,728.50","1,689.05","1,701.10","1,724.40",23.3,1.37,"6,97,569","11,968.68","1,839.50","1,276.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-3.677.31,"Monday, April 17, 2023 3:24 PM"
KOTAKBANK,"1,888.95","1,913.80","1,826.10","1,869.50","1,895.05",25.55,1.37,"1,02,59,616","1,93,393.76","1,997.55","1,631.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.0510.42,"Monday, April 17, 2023 3:24 PM"
SBILIFE,"1,120.00","1,150.75","1,119.00","1,130.25","1,145.50",15.25,1.35,"10,16,666","11,624.66","1,340.35","1,033.20",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-1.455.47,"Monday, April 17, 2023 3:24 PM"
INDUSINDBK,"1,107.40","1,136.70","1,105.00","1,109.30","1,124.20",14.9,1.34,"52,86,899","59,330.11","1,275.80",763.20,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng12.808.70,"Monday, April 17, 2023 3:24 PM"
ULTRACEMCO,"7,655.25","7,824.00","7,645.05","7,655.25","7,749.70",94.45,1.23,"4,80,290","37,296.39","7,824.00","5,157.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng13.755.01,"Monday, April 17, 2023 3:24 PM"
ASIANPAINT,"2,825.00","2,845.00","2,806.00","2,809.75","2,844.00",34.25,1.22,"7,22,648","20,449.42","3,582.90","2,560.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-8.79-1.85,"Monday, April 17, 2023 3:24 PM"
ITC,392.90,402.00,392.90,395.60,400.05,4.45,1.12,"1,08,15,983","43,224.99",402.00,249.15,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng46.765.34,"Monday, April 17, 2023 3:24 PM"
BAJFINANCE,"5,998.00","5,998.00","5,900.00","5,904.45","5,965.20",60.75,1.03,"6,52,465","38,705.33","7,778.00","5,220.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-19.433.00,"Monday, April 17, 2023 3:24 PM"
BPCL,332.25,336.00,330.30,332.25,335.65,3.4,1.02,"13,82,438","4,611.81",398.80,288.05,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-12.34-5.45,"Monday, April 17, 2023 3:24 PM"
M&M,"1,218.95","1,218.95","1,203.40","1,204.55","1,215.95",11.4,0.95,"18,78,470","22,704.50","1,397.00",853.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng39.082.82,"Monday, April 17, 2023 3:24 PM"
TITAN,"2,600.00","2,612.25","2,582.30","2,585.65","2,608.80",23.15,0.9,"10,06,969","26,188.75","2,791.00","1,825.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.055.29,"Monday, April 17, 2023 3:24 PM"
ONGC,159.10,160.45,158.00,158.75,160.10,1.35,0.85,"89,73,418","14,287.48",179.80,119.85,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-8.903.66,"Monday, April 17, 2023 3:24 PM"
HEROMOTOCO,"2,430.00","2,469.00","2,419.50","2,447.05","2,465.90",18.85,0.77,"6,39,661","15,680.14","2,938.60","2,242.40",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng7.593.90,"Monday, April 17, 2023 3:24 PM"
HINDUNILVR,"2,573.00","2,579.00","2,541.40","2,536.20","2,555.30",19.1,0.75,"15,22,959","38,947.09","2,741.60","2,047.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng17.843.63,"Monday, April 17, 2023 3:24 PM"
ADANIPORTS,663.00,666.70,658.00,661.65,665.95,4.3,0.65,"26,30,533","17,439.12",987.85,395.10,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-21.28-2.75,"Monday, April 17, 2023 3:24 PM"
RELIANCE,"2,424.95","2,424.95","2,349.05","2,355.50","2,370.00",14.5,0.62,"81,35,718","1,92,949.13","2,856.15","2,180.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.695.96,"Monday, April 17, 2023 3:24 PM"
TATAMOTORS,471.00,472.85,465.80,469.50,471.95,2.45,0.52,"1,02,55,905","48,210.96",494.40,366.20,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng8.9212.05,"Monday, April 17, 2023 3:24 PM"
EICHERMOT,"3,235.00","3,254.00","3,206.00","3,213.05","3,229.45",16.4,0.51,"5,26,705","16,999.14","3,889.65","2,310.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng28.968.02,"Monday, April 17, 2023 3:24 PM"
HDFCLIFE,542.50,542.50,529.30,531.85,533.75,1.9,0.36,"33,31,376","17,744.24",620.60,457.80,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-5.8412.86,"Monday, April 17, 2023 3:24 PM"
ADANIENT,"1,870.75","1,904.90","1,847.00","1,870.75","1,877.00",6.25,0.33,"28,92,838","54,314.19","4,190.00","1,017.45",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-14.94-0.31,"Monday, April 17, 2023 3:24 PM"
JSWSTEEL,714.00,723.65,714.00,720.65,721.65,1,0.14,"12,07,519","8,699.57",790.00,520.05,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-5.966.54,"Monday, April 17, 2023 3:24 PM"
BAJAJFINSV,"1,345.00","1,352.95","1,330.55","1,341.30","1,342.80",1.5,0.11,"10,44,976","14,002.16","1,844.00","1,072.72",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-91.663.04,"Monday, April 17, 2023 3:24 PM"
MARUTI,"8,850.00","8,850.00","8,650.00","8,670.80","8,680.00",9.2,0.11,"4,67,788","40,670.42","9,769.00","7,062.35",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng16.084.26,"Monday, April 17, 2023 3:24 PM"
DRREDDY,"4,876.95","4,922.95","4,819.75","4,852.90","4,857.80",4.9,0.1,"3,21,285","15,600.22","4,922.95","3,789.85",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng12.889.39,"Monday, April 17, 2023 3:24 PM"
ICICIBANK,917.30,917.30,893.15,899.00,899.50,0.5,0.06,"2,90,34,595","2,61,404.27",958.20,669.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng17.947.50,"Monday, April 17, 2023 3:24 PM"
AXISBANK,882.00,882.00,861.00,864.35,864.50,0.15,0.02,"2,22,44,538","1,92,880.16",970.00,618.25,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng8.993.22,"Monday, April 17, 2023 3:24 PM"
UPL,742.95,744.50,732.00,737.00,737.00,0,0,"10,12,342","7,465.31",848.00,607.50,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-9.972.98,"Monday, April 17, 2023 3:24 PM"
APOLLOHOSP,"4,410.00","4,448.40","4,340.00","4,398.30","4,386.00",-12.3,-0.28,"3,20,981","14,069.78","4,903.65","3,361.55",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.301.19,"Monday, April 17, 2023 3:24 PM"
TATASTEEL,107.60,108.30,106.75,107.50,107.15,-0.35,-0.33,"2,35,12,004","25,216.62",136.67,82.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-91.850.47,"Monday, April 17, 2023 3:24 PM"
SUNPHARMA,999.45,"1,009.90",995.05,"1,003.50",998.75,-4.75,-0.47,"16,93,192","16,927.86","1,072.15",789.90,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng7.134.78,"Monday, April 17, 2023 3:24 PM"
BAJAJ-AUTO,"4,311.00","4,311.00","4,221.05","4,288.35","4,262.25",-26.1,-0.61,"6,91,755","29,461.43","4,311.00","3,460.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng15.9912.43,"Monday, April 17, 2023 3:24 PM"
DIVISLAB,"3,183.95","3,193.35","3,132.00","3,183.95","3,161.50",-22.45,-0.71,"3,15,944","9,961.94","4,640.80","2,730.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-29.2314.06,"Monday, April 17, 2023 3:24 PM"
CIPLA,915.00,917.45,901.10,915.75,908.10,-7.65,-0.84,"25,63,800","23,203.67","1,185.25",852.00,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-9.924.77,"Monday, April 17, 2023 3:24 PM"
TATACONSUM,717.00,719.25,711.50,719.60,713.05,-6.55,-0.91,"11,27,498","8,054.85",861.15,686.60,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-11.991.90,"Monday, April 17, 2023 3:24 PM"
BHARTIARTL,789.00,789.00,754.35,767.05,759.30,-7.75,-1.01,"88,06,616","67,150.45",860.55,628.75,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng3.561.29,"Monday, April 17, 2023 3:24 PM"
TCS,"3,134.10","3,163.40","3,070.25","3,188.85","3,138.50",-50.35,-1.58,"53,87,737","1,67,589.87","3,709.85","2,926.10",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-12.920.30,"Monday, April 17, 2023 3:24 PM"
HDFCBANK,"1,720.00","1,720.00","1,653.30","1,692.45","1,664.05",-28.4,-1.68,"1,59,23,838","2,65,799.11","1,720.00","1,271.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng15.537.62,"Monday, April 17, 2023 3:24 PM"
WIPRO,359.95,361.95,352.00,368.30,361.50,-6.8,-1.85,"66,31,524","23,750.14",565.50,352.00,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-34.14-2.18,"Monday, April 17, 2023 3:24 PM"
HDFC,"2,827.95","2,827.95","2,718.60","2,786.85","2,735.30",-51.55,-1.85,"45,91,602","1,25,717.14","2,827.95","2,026.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng17.178.69,"Monday, April 17, 2023 3:24 PM"
NTPC,172.35,173.95,169.25,173.05,169.60,-3.45,-1.99,"1,67,67,744","28,597.39",182.95,134.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng12.41-2.20,"Monday, April 17, 2023 3:24 PM"
LT,"2,258.75","2,273.80","2,201.15","2,258.75","2,212.95",-45.8,-2.03,"40,22,794","89,216.32","2,330.00","1,456.35",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng28.282.87,"Monday, April 17, 2023 3:24 PM"
HCLTECH,"1,055.00","1,055.00","1,016.25","1,071.85","1,042.20",-29.65,-2.77,"92,64,819","95,771.36","1,156.65",877.35,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-4.73-3.30,"Monday, April 17, 2023 3:24 PM"
TECHM,"1,035.00","1,038.00","1,002.00","1,086.85","1,029.05",-57.8,-5.32,"42,33,093","43,268.56","1,428.70",943.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-22.94-3.58,"Monday, April 17, 2023 3:24 PM"
INFY,"1,250.30","1,261.15","1,185.30","1,389.20","1,259.00",-130.2,-9.37,"5,25,12,974","6,51,013.84","1,757.50","1,185.30",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-20.55-2.22,"Monday, April 17, 2023 3:24 PM"
NIFTY 50,"17,863.00","17,863.00","17,574.05","17,828.00","17,702.75",-125.25,-0.7,"34,83,62,893","34,28,876.14","18,887.60","18,887.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng2.024.26,"Monday, April 17, 2023 3:24 PM"
NESTLEIND,"19,590.00","20,410.00","19,502.15","19,465.35","20,260.00",794.65,4.08,"1,90,377","38,331.89","21,050.00","16,000.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.893.22,"Monday, April 17, 2023 3:24 PM"
POWERGRID,232.60,239.90,232.30,231.20,236.30,5.1,2.21,"1,60,35,667","37,985.29",248.35,186.35,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng0.740.65,"Monday, April 17, 2023 3:24 PM"
SBIN,528.00,544.80,528.00,532.95,544.15,11.2,2.1,"3,19,45,793","1,72,194.21",629.55,430.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng2.950.59,"Monday, April 17, 2023 3:24 PM"
COALINDIA,225.50,229.95,225.40,225.50,229.70,4.2,1.86,"59,86,687","13,667.01",263.40,164.65,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng20.851.74,"Monday, April 17, 2023 3:24 PM"
BRITANNIA,"4,278.00","4,405.00","4,259.70","4,264.20","4,337.80",73.6,1.73,"6,04,332","26,217.67","4,669.20","3,132.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng27.30-2.25,"Monday, April 17, 2023 3:24 PM"
HINDALCO,422.35,429.15,421.60,422.05,428.95,6.9,1.63,"67,89,953","28,917.73",556.20,308.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-22.816.39,"Monday, April 17, 2023 3:24 PM"
GRASIM,"1,689.05","1,728.50","1,689.05","1,701.10","1,724.40",23.3,1.37,"6,97,569","11,968.68","1,839.50","1,276.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-3.677.31,"Monday, April 17, 2023 3:24 PM"
KOTAKBANK,"1,888.95","1,913.80","1,826.10","1,869.50","1,895.05",25.55,1.37,"1,02,59,616","1,93,393.76","1,997.55","1,631.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.0510.42,"Monday, April 17, 2023 3:24 PM"
SBILIFE,"1,120.00","1,150.75","1,119.00","1,130.25","1,145.50",15.25,1.35,"10,16,666","11,624.66","1,340.35","1,033.20",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-1.455.47,"Monday, April 17, 2023 3:24 PM"
INDUSINDBK,"1,107.40","1,136.70","1,105.00","1,109.30","1,124.20",14.9,1.34,"52,86,899","59,330.11","1,275.80",763.20,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng12.808.70,"Monday, April 17, 2023 3:24 PM"
ULTRACEMCO,"7,655.25","7,824.00","7,645.05","7,655.25","7,749.70",94.45,1.23,"4,80,290","37,296.39","7,824.00","5,157.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng13.755.01,"Monday, April 17, 2023 3:24 PM"
ASIANPAINT,"2,825.00","2,845.00","2,806.00","2,809.75","2,844.00",34.25,1.22,"7,22,648","20,449.42","3,582.90","2,560.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-8.79-1.85,"Monday, April 17, 2023 3:24 PM"
ITC,392.90,402.00,392.90,395.60,400.05,4.45,1.12,"1,08,15,983","43,224.99",402.00,249.15,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng46.765.34,"Monday, April 17, 2023 3:24 PM"
BAJFINANCE,"5,998.00","5,998.00","5,900.00","5,904.45","5,965.20",60.75,1.03,"6,52,465","38,705.33","7,778.00","5,220.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-19.433.00,"Monday, April 17, 2023 3:24 PM"
BPCL,332.25,336.00,330.30,332.25,335.65,3.4,1.02,"13,82,438","4,611.81",398.80,288.05,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-12.34-5.45,"Monday, April 17, 2023 3:24 PM"
M&M,"1,218.95","1,218.95","1,203.40","1,204.55","1,215.95",11.4,0.95,"18,78,470","22,704.50","1,397.00",853.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng39.082.82,"Monday, April 17, 2023 3:24 PM"
TITAN,"2,600.00","2,612.25","2,582.30","2,585.65","2,608.80",23.15,0.9,"10,06,969","26,188.75","2,791.00","1,825.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng5.055.29,"Monday, April 17, 2023 3:24 PM"
ONGC,159.10,160.45,158.00,158.75,160.10,1.35,0.85,"89,73,418","14,287.48",179.80,119.85,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-8.903.66,"Monday, April 17, 2023 3:24 PM"
HEROMOTOCO,"2,430.00","2,469.00","2,419.50","2,447.05","2,465.90",18.85,0.77,"6,39,661","15,680.14","2,938.60","2,242.40",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng7.593.90,"Monday, April 17, 2023 3:24 PM"
HINDUNILVR,"2,573.00","2,579.00","2,541.40","2,536.20","2,555.30",19.1,0.75,"15,22,959","38,947.09","2,741.60","2,047.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng17.843.63,"Monday, April 17, 2023 3:24 PM"
ADANIPORTS,663.00,666.70,658.00,661.65,665.95,4.3,0.65,"26,30,533","17,439.12",987.85,395.10,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-21.28-2.75,"Monday, April 17, 2023 3:24 PM"
RELIANCE,"2,424.95","2,424.95","2,349.05","2,355.50","2,370.00",14.5,0.62,"81,35,718","1,92,949.13","2,856.15","2,180.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.695.96,"Monday, April 17, 2023 3:24 PM"
TATAMOTORS,471.00,472.85,465.80,469.50,471.95,2.45,0.52,"1,02,55,905","48,210.96",494.40,366.20,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng8.9212.05,"Monday, April 17, 2023 3:24 PM"
EICHERMOT,"3,235.00","3,254.00","3,206.00","3,213.05","3,229.45",16.4,0.51,"5,26,705","16,999.14","3,889.65","2,310.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng28.968.02,"Monday, April 17, 2023 3:24 PM"
HDFCLIFE,542.50,542.50,529.30,531.85,533.75,1.9,0.36,"33,31,376","17,744.24",620.60,457.80,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-5.8412.86,"Monday, April 17, 2023 3:24 PM"
ADANIENT,"1,870.75","1,904.90","1,847.00","1,870.75","1,877.00",6.25,0.33,"28,92,838","54,314.19","4,190.00","1,017.45",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-14.94-0.31,"Monday, April 17, 2023 3:24 PM"
JSWSTEEL,714.00,723.65,714.00,720.65,721.65,1,0.14,"12,07,519","8,699.57",790.00,520.05,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-5.966.54,"Monday, April 17, 2023 3:24 PM"
BAJAJFINSV,"1,345.00","1,352.95","1,330.55","1,341.30","1,342.80",1.5,0.11,"10,44,976","14,002.16","1,844.00","1,072.72",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-91.663.04,"Monday, April 17, 2023 3:24 PM"
MARUTI,"8,850.00","8,850.00","8,650.00","8,670.80","8,680.00",9.2,0.11,"4,67,788","40,670.42","9,769.00","7,062.35",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng16.084.26,"Monday, April 17, 2023 3:24 PM"
DRREDDY,"4,876.95","4,922.95","4,819.75","4,852.90","4,857.80",4.9,0.1,"3,21,285","15,600.22","4,922.95","3,789.85",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng12.889.39,"Monday, April 17, 2023 3:24 PM"
ICICIBANK,917.30,917.30,893.15,899.00,899.50,0.5,0.06,"2,90,34,595","2,61,404.27",958.20,669.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng17.947.50,"Monday, April 17, 2023 3:24 PM"
AXISBANK,882.00,882.00,861.00,864.35,864.50,0.15,0.02,"2,22,44,538","1,92,880.16",970.00,618.25,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng8.993.22,"Monday, April 17, 2023 3:24 PM"
UPL,742.95,744.50,732.00,737.00,737.00,0,0,"10,12,342","7,465.31",848.00,607.50,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-9.972.98,"Monday, April 17, 2023 3:24 PM"
APOLLOHOSP,"4,410.00","4,448.40","4,340.00","4,398.30","4,386.00",-12.3,-0.28,"3,20,981","14,069.78","4,903.65","3,361.55",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-7.301.19,"Monday, April 17, 2023 3:24 PM"
TATASTEEL,107.60,108.30,106.75,107.50,107.15,-0.35,-0.33,"2,35,12,004","25,216.62",136.67,82.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-91.850.47,"Monday, April 17, 2023 3:24 PM"
SUNPHARMA,999.45,"1,009.90",995.05,"1,003.50",998.75,-4.75,-0.47,"16,93,192","16,927.86","1,072.15",789.90,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng7.134.78,"Monday, April 17, 2023 3:24 PM"
BAJAJ-AUTO,"4,311.00","4,311.00","4,221.05","4,288.35","4,262.25",-26.1,-0.61,"6,91,755","29,461.43","4,311.00","3,460.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng15.9912.43,"Monday, April 17, 2023 3:24 PM"
DIVISLAB,"3,183.95","3,193.35","3,132.00","3,183.95","3,161.50",-22.45,-0.71,"3,15,944","9,961.94","4,640.80","2,730.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-29.2314.06,"Monday, April 17, 2023 3:24 PM"
CIPLA,915.00,917.45,901.10,915.75,908.10,-7.65,-0.84,"25,63,800","23,203.67","1,185.25",852.00,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-9.924.77,"Monday, April 17, 2023 3:24 PM"
TATACONSUM,717.00,719.25,711.50,719.60,713.05,-6.55,-0.91,"11,27,498","8,054.85",861.15,686.60,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-11.991.90,"Monday, April 17, 2023 3:24 PM"
BHARTIARTL,789.00,789.00,754.35,767.05,759.30,-7.75,-1.01,"88,06,616","67,150.45",860.55,628.75,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng3.561.29,"Monday, April 17, 2023 3:24 PM"
TCS,"3,134.10","3,163.40","3,070.25","3,188.85","3,138.50",-50.35,-1.58,"53,87,737","1,67,589.87","3,709.85","2,926.10",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-12.920.30,"Monday, April 17, 2023 3:24 PM"
HDFCBANK,"1,720.00","1,720.00","1,653.30","1,692.45","1,664.05",-28.4,-1.68,"1,59,23,838","2,65,799.11","1,720.00","1,271.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng15.537.62,"Monday, April 17, 2023 3:24 PM"
WIPRO,359.95,361.95,352.00,368.30,361.50,-6.8,-1.85,"66,31,524","23,750.14",565.50,352.00,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-34.14-2.18,"Monday, April 17, 2023 3:24 PM"
HDFC,"2,827.95","2,827.95","2,718.60","2,786.85","2,735.30",-51.55,-1.85,"45,91,602","1,25,717.14","2,827.95","2,026.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng17.178.69,"Monday, April 17, 2023 3:24 PM"
NTPC,172.35,173.95,169.25,173.05,169.60,-3.45,-1.99,"1,67,67,744","28,597.39",182.95,134.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng12.41-2.20,"Monday, April 17, 2023 3:24 PM"
LT,"2,258.75","2,273.80","2,201.15","2,258.75","2,212.95",-45.8,-2.03,"40,22,794","89,216.32","2,330.00","1,456.35",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng28.282.87,"Monday, April 17, 2023 3:24 PM"
HCLTECH,"1,055.00","1,055.00","1,016.25","1,071.85","1,042.20",-29.65,-2.77,"92,64,819","95,771.36","1,156.65",877.35,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-4.73-3.30,"Monday, April 17, 2023 3:24 PM"
TECHM,"1,035.00","1,038.00","1,002.00","1,086.85","1,029.05",-57.8,-5.32,"42,33,093","43,268.56","1,428.70",943.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-22.94-3.58,"Monday, April 17, 2023 3:24 PM"
INFY,"1,250.30","1,261.15","1,185.30","1,389.20","1,259.00",-130.2,-9.37,"5,25,12,974","6,51,013.84","1,757.50","1,185.30",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-20.55-2.22,"Monday, April 17, 2023 3:24 PM"
